idProduit,nomProduit,categorieProduit,prix,poidsExpedition,venteAmazone
10e48ea4fb85adbf89b0c1393ad25659,"Crayola Bulk Construction Paper Set, Back To School Supplies, Shapes & Stencils, 144 Construction Paper Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Decorative Paper",16.85,3.4,1
325c46160aa91973d43f74d2821eeff8,INOVART Calligraphy Parchment Paper Antique Gold 11 x 14,"Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Parchment",13.30,1.05,1
ed8d9032bc6d9f45b4db9209d693fdc0,"Martha Stewart Crafts Stencil Tape, 32292","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper Craft Tools",9.97,0.15,0
64f61ca1219f6f541dfef995558db58d,Darice Embosssing Folder Stripe Background 5X7,"Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper Craft Tools",4.86,0.18,1
7921cf9e1ebb1479b2cd26fcd67af437,"Melissa & Doug Wooden Multi-Craft Weaving Loom (Arts & Crafts, Extra-Large Frame, Develops Creativity and Motor Skills, 16.5 H x 22.75 W x 9.5 L)","Arts, Crafts & Sewing | Crafting | Weaving & Spinning | Weaving Looms",25.99,3.95,1
507f45a97083f6f8ae4fb0fd11963d32,Darice 9163-46 Wood Airplane Craft,"Arts, Crafts & Sewing | Crafting | Woodcrafts | Unfinished Wood",6.23,0.1,1
0e0953ce2df7e90361daec14e1fc359a,"Springs Creative Products Group My Little Pony Sleeping Ponies Flannel, 42 by 43-Inch, Lavender","Arts, Crafts & Sewing | Fabric",16.92,0.4,1
0cb045d2cd3c644b0a306450b065a161,"Dimensions Stamped Cross Stitch 'Baby Express' DIY Baby Quilt, 34 x 43","Arts, Crafts & Sewing | Needlework | Cross-Stitch | Stamped Kits",30.18,0.95,1
d670f86528fdb83a69c9c1b4aa24c868,"Harrisville Designs Traditional Rug Hooking, Sheep","Arts, Crafts & Sewing | Needlework | Latch Hook | Latch Hook Kits",29.99,0.9,1
b6ebab1a3998eed548f7694c0a4c2c5e,ALEX Toys Artist Studio Drawing Paper – 50 Sheets,"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Art Paper | Drawing Paper",9.99,1.01,1
512c8a06077655f93fafea2943065236,"Melissa & Doug Tabletop Easel Paper Roll (12 inches x 75 feet), 3-Pack","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Art Paper | Easel Pads",14.68,3.84,1
7daf653eea9512d88942a82293dba0f4,Zip Dry Minis - 6 Pieces,"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing",9.49,0.1,1
f0127a80c2f151ed94feb5a909374192,Faber-Castell Tabletop Art Studio - Wooden Easel with Art Supplies for Kids,"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Art Sets",40.00,4.45,1
d0775ae4b73e4835bb99a8e7be7ae16b,"ChalkScapes Mandala Stencils and Outdoor Sidewalk and Driveway Chalk Kit, Includes 30 Chalks, 2 Stencils, and Chalk Holders - 22.5 Inches Diam. - Stars and Geometry","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Drawing & Lettering Aids",21.98,1.7,1
47cfb73c78ef5e7e56044b422cc1b62b,"Faber-Castell Beeswax Crayons in Durable Storage Case, 12 Vibrant Colors","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Drawing Media | Crayons",5.99,0.45,1
1d8afc2fb1d7d4372d01b816c0a60ea2,"Mr. Sketch 1951331 Scented Twistable Crayons, Assorted Colors, 18-Count","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Drawing Media | Crayons",7.20,0.45,1
be793ea246b64e3a6b53d49de182dce5,Faber-Castell Metallic Gel Crayons - 6 Twistable Crayons in Storage Case,"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Drawing Media | Crayons",10.49,0.35,1
43cd68313ad1554b93f6384cfa0c1ce0,Faber-Castell Creative Studio Goldfaber Aqua Watercolor Pencils - Tin of 12 Colors,"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Drawing Media | Pencils",9.51,0.3125,1
88277e855d6c9b02649ac00086394d22,"Royal and Langnickel Colour by Number Pencil, Jungle Animals","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Drawing Media | Pencils",5.20,0.3125,1
751225c36e2d3569d94c75c27e18f34b,Faber-Castell - Do Art Colored Pencils Art Kit - Premium Kids Crafts,"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Drawing Media | Pencils",13.93,0.8,1
d20eb0926241e994e6db22d09d2eb62e,Inovart Lumina Light Box 18 x 24,"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Drawing | Light Boxes",167.38,19.8,1
d2235c13967ccbde0cfe67cae74ba866,"Artool Freehand Airbrush Templates, Intro Series Template Set","Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Airbrush Materials",15.02,0.2,1
e19d46699447399d977f8bd5ca4bf208,CREATIVE ROOTS Paint Your Own Fairy Door by Horizon Group USA,"Arts, Crafts & Sewing | Painting, Drawing & Art Supplies | Painting | Kits",14.59,1.28,1
